weekday,hour,lambda_hat,var_hat,n_weeks,dispersion_index
Пн,9,20.0,55.333333333333336,4,2.7666666666666666
Пн,10,18.5,11.666666666666666,4,0.6306306306306306
Пн,11,18.0,15.333333333333336,4,0.851851851851852
Пн,12,17.25,23.58333333333333,4,1.367149758454106
Пн,13,14.0,27.333333333333332,4,1.9523809523809523
Пн,14,8.5,3.6666666666666674,4,0.4313725490196079
Пн,15,12.25,4.916666666666665,4,0.40136054421768697
Пн,16,16.25,1.5833333333333341,4,0.09743589743589749
Пн,17,22.0,24.666666666666668,4,1.1212121212121213
Пн,18,10.25,10.916666666666666,4,1.065040650406504
Вт,9,14.25,2.9166666666666665,4,0.2046783625730994
Вт,10,17.5,14.333333333333334,4,0.8190476190476191
Вт,11,20.25,14.25,4,0.7037037037037037
Вт,12,16.75,8.916666666666666,4,0.5323383084577115
Вт,13,13.0,18.0,4,1.3846153846153846
Вт,14,7.0,3.3333333333333335,4,0.4761904761904762
Вт,15,11.25,4.916666666666665,4,0.4370370370370369
Вт,16,18.75,12.250000000000002,4,0.6533333333333334
Вт,17,14.25,7.583333333333333,4,0.5321637426900585
Вт,18,11.5,7.0,4,0.6086956521739131
Ср,9,18.5,3.666666666666666,4,0.19819819819819817
Ср,10,14.25,2.9166666666666674,4,0.20467836257309946
Ср,11,15.75,6.916666666666667,4,0.4391534391534392
Ср,12,14.0,51.333333333333336,4,3.666666666666667
Ср,13,11.0,14.0,4,1.2727272727272727
Ср,14,8.75,0.9166666666666665,4,0.10476190476190475
Ср,15,7.0,7.333333333333333,4,1.0476190476190477
Ср,16,16.5,33.666666666666664,4,2.04040404040404
Ср,17,18.0,8.666666666666666,4,0.48148148148148145
Ср,18,9.75,20.916666666666668,4,2.1452991452991452
Чт,9,13.75,10.91666666666667,4,0.7939393939393942
Чт,10,15.5,43.0,4,2.774193548387097
Чт,11,11.75,4.916666666666667,4,0.4184397163120568
Чт,12,15.5,33.666666666666664,4,2.172043010752688
Чт,13,10.25,20.916666666666668,4,2.0406504065040654
Чт,14,7.25,20.916666666666668,4,2.885057471264368
Чт,15,7.0,4.666666666666667,4,0.6666666666666667
Чт,16,14.25,14.916666666666666,4,1.0467836257309941
Чт,17,16.5,65.66666666666667,4,3.97979797979798
Чт,18,8.75,14.916666666666666,4,1.7047619047619047
Пт,9,13.25,14.25,4,1.0754716981132075
Пт,10,14.25,26.916666666666668,4,1.888888888888889
Пт,11,17.5,17.000000000000004,4,0.9714285714285716
Пт,12,15.5,14.333333333333336,4,0.9247311827956991
Пт,13,12.25,10.916666666666666,4,0.891156462585034
Пт,14,6.25,5.583333333333333,4,0.8933333333333333
Пт,15,11.5,1.6666666666666667,4,0.14492753623188406
Пт,16,18.25,52.25,4,2.863013698630137
Пт,17,15.0,3.333333333333332,4,0.22222222222222215
Пт,18,10.25,2.25,4,0.21951219512195122
Сб,9,12.0,14.0,4,1.1666666666666667
Сб,10,14.25,8.25,4,0.5789473684210527
Сб,11,8.0,7.333333333333333,4,0.9166666666666666
Сб,12,10.75,2.9166666666666674,4,0.27131782945736443
Сб,13,7.25,10.916666666666666,4,1.5057471264367814
Сб,14,4.75,2.9166666666666665,4,0.6140350877192983
Сб,15,6.0,10.0,4,1.6666666666666667
